Phys. Lett. B 33 (1970) 245
https://doi.org/10.1016/0370-2693(70)90585-X
Proton electromagnetic form factor ratio square from cross section measurements
process: e p -> e p




Q2	 (mu*G_Ep/G_Mp)^2	err_total
GeV^2	 1			1
1.169	 0.99			0.15
1.75	 0.60			0.22
2.00	 0.65			0.23
2.33	 0.51			0.29
3.00	 0.40			0.35
