Phys. Rev. Lett. 87 (2001) 081801
https://doi.org/10.1103/PhysRevLett.87.081801
Neutron electric form factor from beam target asymmetry
process: e(pol) d(pol) -> e n p




Q2	 G_En	       err_stat		err_syst
GeV^2	 1	       1		1
0.495	 0.04632       0.00616		0.00341
