Phys. Rev. C 50 (1994) R1749
https://doi.org/10.1103/PhysRevC.50.R1749
Neutron electric form factor by measuring the polarization of the recoil neutron
process: e(pol) d -> e p n(pol)




Q2	 G_En	  err_stat	err_syst
GeV^2	 1	  1		1
0.255	 0.066	  0.036		0.009
