Eur. Phys. J. A 6 (1999) 329
https://doi.org/10.1007/s100500050351
Neutron electric form factor
process: e(pol) 3He(pol) -> e p p n




Q2	 Q2low	Q2up	 G_En 	  err_stat	err_syst
GeV^2	 GeV^2	GeV^2	 1	  1		1
0.35	 0.27	0.5	 0.0334	  0.0033	0.0028
