Phys. Rev. D 49 (1994) 5671
https://doi.org/10.1103/PhysRevD.49.5671
Proton electric form factor from cross section measurement
process: e p -> e p




Q2	 G_Ep/G_D	err_stat	err_syst	err_norm
GeV^2	 1		1		1		1
1.000	 1.001		0.072		0.039		0.013
2.003	 1.173		0.077		0.047		0.029
2.497	 1.101		0.103		0.065		0.031
3.007	 1.231		0.141		0.083		0.035
