Phys. Rev. C 50	(1994) R546
https://doi.org/10.1103/PhysRevC.50.R546
Neutron magnetic form factor
process: e(pol) 3He(pol) -> e p p n




Q2	 (G_Mn/mu/G_D)^2 err_stat	err_syst	err_model
GeV^2	 1		 1 		1		1
0.19	 0.998		 0.117		0.059		0.030
