Nucl. Phys. B 58 (1973) 429
https://doi.org/10.1016/0550-3213(73)90594-4
Proton electromagnetic form factor ratio square from cross section measurement
process: e p ->  e p




Q2	 mu^2*G_Ep^2/G_Mp^2	err_total
GeV^2	 1			1
0.670	 1.11			0.16
1.000	 1.09			0.21
1.169	 0.99			0.15
1.500	 1.00			0.27
1.75	 0.60			0.21
2.00	 0.65			0.21
2.33	 0.51			0.28
3.00	 0.40			0.32

