Phys. Rev. D 49 (1994) 5671
https://doi.org/10.1103/PhysRevD.49.5671
Proton magnetic form factor from cross section measurement
process: e p -> e p




Q2	 G_Mp/mu/G_D	err_stat	err_syst	err_norm
GeV^2	 1		1		1		1
1.000	 1.017		0.027		0.015		0.010
2.003	 1.014		0.017		0.009		0.010
2.497	 1.030		0.016		0.010		0.010
3.007	 1.012		0.020		0.010		0.010
