Phys. Rev. Lett. 92 (2004) 042301
https://doi.org/10.1103/PhysRevLett.92.042301
Neutron electric form factor from beam target asymmetry
process: e(pol) d(pol) -> e n p




Q2	 G_En	       err_stat		err_syst
GeV^2	 1	       1		1
0.5	 0.0526	       0.0033		0.0026
1.0	 0.0454	       0.0054		0.0037
