Phys. Rev. C 74 (2006) 035201
https://doi.org/10.1103/PhysRevC.74.035201
Proton electromagnetic form factor ratio from beam-target asymmetry
process: e(pol) p(pol) -> e p




Q2	 mu*G_Ep/G_Mp  err_stat		err_syst
GeV^2	 1	       1		1
1.51	 0.884	       0.027		0.029
