G_Ep/G_D	Q2	error
1.0009958666249714	0.005451311118726991	0.5285409839644201
0.9982432400757907	0.007787587312467131	0.5402516024834809
0.9990415291254385	0.009734484140583912	0.5275090641539174
0.9938119830214748	0.011681380968700694	0.6404499477555337
0.9984541450335515	0.013628277796817476	0.5271989164537697
0.9932859999957125	0.015575174624934261	0.6884554046335222
0.9935837716332104	0.01752207145305104	0.5027180423266467
0.9952140985439365	0.019468968281167825	0.5686671124512235
0.9925742165863949	0.02141586510928461	0.5022072433872459
0.9943446074903686	0.02336276193740139	0.562837695949582
0.9916941084816772	0.025309658765518172	0.5083822906246067
0.9882186771748602	0.027256555593634952	0.5870551291977532
0.9876790334281261	0.031150349249868522	0.5439413061196933
0.9905744843076187	0.0330972460779853	0.5714507352539868
0.9935695421008539	0.03504414290610208	0.6021556059458475
0.9835084511239557	0.03893793656233565	0.9175664746684155
0.9811219399212074	0.04672552387480278	0.7538694808063943
0.9815929767709789	0.054513111187269904	0.613318898295823
