Phys. Lett. B 35 (1971) 87
https://doi.org/10.1016/0370-2693(71)90448-5
Proton electromagnetic form factor ratio from cross section measurement
process: e p -> e p




Q2	 mu*G_Ep/G_Mp  err_stat
fm^-2	 1	       1	
10	 0.971	       0.046
15	 0.988	       0.027
20	 0.954	       0.040
25	 0.974	       0.053
30	 0.873	       0.070
35	 0.912	       0.080
40	 0.828	       0.091
45	 0.768	       0.126
50	 0.981	       0.205
