Phys. Rev. Lett. 82 (1999) 4988
https://doi.org/10.1103/PhysRevLett.82.4988
Neutron electric form factor from spin correlation measurement
process: e(pol) d(pol) -> e p n




Q2	 G_En	    err_stat	err_syst
GeV^2	 1	    1		1
0.21	 0.066	    0.015	0.004
