Phys. Rev. C 44 (1991) R571
https://doi.org/10.1103/PhysRevC.44.R571
Neutron electric form factor by measuring longitudinal-transverse response function
process: e(pol) 3He(pol) -> e p p n




Q2	 G_En	  err_stat	err_syst
GeV^2	 1	  1		1
0.16	 0.070	  0.100		0.035
